N,P,K,temperature,humidity,ph,rainfall,crop,soil,season,water,market_price
80.0,43.0,16.0,23.55882094,71.59351368,6.657964753,66.71995467,37,34,3,887.2628824561403,2550
73.0,58.0,21.0,19.97215954,57.68272924,6.596060648,60.65171481,37,34,3,887.2628824561403,1988
61.0,38.0,20.0,18.47891261,62.69503871,5.970458434,65.43835393,37,34,3,887.2628824561403,3341
68.0,41.0,16.0,21.77689322,57.80840636,6.158830619,102.0861694,37,34,3,887.2628824561403,2796
93.0,41.0,17.0,25.6217169,66.50415474,6.047906679,105.4654703,37,34,3,887.2628824561403,2728
89.0,60.0,19.0,25.19192419,66.69029010000001,5.913664501,78.06639649,37,34,3,887.2628824561403,1943
76.0,44.0,17.0,20.41683147,62.55424820000001,5.855442401,65.27798457,37,34,3,887.2628824561403,1819
67.0,60.0,25.0,24.92162194,66.78627406,5.750254943,109.2162279,37,34,3,887.2628824561403,2383
70.0,44.0,19.0,23.31689124,73.4541537,5.852607099,94.29712821,37,34,3,887.2628824561403,2308
90.0,49.0,21.0,24.84016732,68.3584573,6.4725232870000005,74.05474936,37,34,3,887.2628824561403,2954
62.0,52.0,16.0,22.27526694,58.84015925,6.9670577620000005,63.87020584,37,34,3,887.2628824561403,2990
92.0,44.0,16.0,18.87751445,65.76816093,6.082973754,94.76189431,37,34,3,887.2628824561403,2872
66.0,54.0,21.0,25.19008683,60.200168700000006,5.919045532,72.12375573,37,34,3,887.2628824561403,1904
63.0,58.0,22.0,18.25405352,55.28220433,6.204747652999999,63.72358154,37,34,3,887.2628824561403,1581
70.0,47.0,17.0,24.612911800000006,70.4162444,6.600827017,104.1626147,37,34,3,887.2628824561403,1566
61.0,41.0,17.0,25.1420613,65.26185135,6.021902237000001,76.68456006,37,34,3,887.2628824561403,1742
66.0,53.0,19.0,23.09348056,60.11593810000001,6.033550195,65.49730729,37,34,3,887.2628824561403,3139
74.0,55.0,19.0,18.05033737,62.89366992,6.28886807,84.23613484,37,34,3,887.2628824561403,3334
77.0,57.0,21.0,24.9321581,73.80435276,6.550563822999999,79.74078719,37,34,3,887.2628824561403,3626
99.0,50.0,15.0,18.14710054,71.09445342,5.573286437,88.07753741,37,34,3,887.2628824561403,1750
74.0,56.0,22.0,18.28362235,66.65952796,6.829199275,80.97573281,37,34,3,887.2628824561403,3840
83.0,45.0,21.0,18.83344471,58.75082029,5.716222912,79.75328959999999,37,34,3,887.2628824561403,2287
100.0,48.0,16.0,25.71895816,67.22190688,5.54990242,74.51490791,37,34,3,887.2628824561403,2855
79.0,51.0,16.0,25.33797709,68.49835977,6.586244581,96.46380213,37,34,3,887.2628824561403,3387
94.0,39.0,18.0,23.89114571,57.48775781,5.893093135,102.8301942,37,34,3,887.2628824561403,1906
75.0,49.0,15.0,21.53574127,71.50905983,5.918263801,102.4852929,37,34,3,887.2628824561403,3545
78.0,48.0,22.0,23.08974909,63.10459626,5.588650585,70.43473609,37,34,3,887.2628824561403,2201
87.0,54.0,20.0,25.61707368,63.4711755,6.576418207000001,108.8303762,37,34,3,887.2628824561403,2067
87.0,35.0,25.0,21.44526922,63.1621551,6.178056304,65.88951188,37,34,3,887.2628824561403,1513
63.0,43.0,19.0,18.51816776,55.53128131,6.641906353,90.988051,37,34,3,887.2628824561403,1926
84.0,57.0,25.0,22.53510514,67.99257471,6.489040367,64.40866039,37,34,3,887.2628824561403,3747
64.0,35.0,23.0,23.02038334,61.89472002,5.680361037999999,63.03843397,37,34,3,887.2628824561403,3830
60.0,46.0,22.0,24.89364635,65.61418761,6.625404347999999,87.9298085,37,34,3,887.2628824561403,2090
98.0,44.0,21.0,25.77175115,74.089114,6.524478032,107.4931917,37,34,3,887.2628824561403,2905
75.0,56.0,18.0,19.39851734,62.35750641,5.696205468,60.95197486,37,34,3,887.2628824561403,2960
86.0,55.0,21.0,21.54156232,59.64024162,6.803931519,109.7515385,37,34,3,887.2628824561403,3807
98.0,35.0,18.0,23.79746068,74.82913698,6.252797547999999,91.76337172,37,34,3,887.2628824561403,3384
76.0,57.0,18.0,18.9802729,74.52600826,6.092725883,94.26249353,37,34,3,887.2628824561403,2981
99.0,56.0,17.0,24.10859207,73.13112261,6.234330356,71.07562236,37,34,3,887.2628824561403,3856
60.0,44.0,23.0,24.7947077,70.04556743,5.722579819,76.72860067,37,34,3,887.2628824561403,1865
74.0,48.0,17.0,21.63162756,60.27766379,6.430616465,69.21803098,37,34,3,887.2628824561403,2286
89.0,60.0,17.0,25.37548751,57.21025565,5.983952675,101.7004306,37,34,3,887.2628824561403,2895
69.0,51.0,23.0,22.21738222,72.85462807,6.80163854,106.6213157,37,34,3,887.2628824561403,2086
96.0,46.0,22.0,20.58314011,69.00128641,6.499936446,66.29390357,37,34,3,887.2628824561403,2517
61.0,60.0,15.0,24.87502824,68.74248334,6.265564338,91.26056654,37,34,3,887.2628824561403,2873
74.0,58.0,18.0,20.03728219,56.35606753,6.727303282,109.024141,37,34,3,887.2628824561403,1636
74.0,43.0,23.0,25.95263264,61.89082199,6.325235159,99.57981207,37,34,3,887.2628824561403,3936
63.0,43.0,17.0,19.28889933,65.47050802,6.807487794,71.3195307,37,34,3,887.2628824561403,2476
99.0,36.0,20.0,20.57981887,65.34583901,6.671085817000001,78.34604471,37,34,3,887.2628824561403,2490
77.0,36.0,23.0,24.71417533,56.73426469,6.648725327,88.45361858,37,34,3,887.2628824561403,1652
87.0,60.0,23.0,20.27317074,63.91281869,6.439071996,62.50351892,37,34,3,887.2628824561403,3516
60.0,38.0,17.0,18.41932981,64.23580251,6.474476516,76.41312437,37,34,3,887.2628824561403,1785
94.0,54.0,17.0,23.39128187,61.74427165,5.871647806,107.3198135,37,34,3,887.2628824561403,1885
95.0,38.0,22.0,19.84939404,61.24500053,5.730617109,100.7689246,37,34,3,887.2628824561403,2651
84.0,44.0,21.0,21.869274,61.91044947,5.850439831,107.2681929,37,34,3,887.2628824561403,2202
77.0,58.0,19.0,22.8056033,56.50768935,5.791649933,101.5952794,37,34,3,887.2628824561403,1878
66.0,44.0,20.0,19.0781471,69.02298571,6.740000687999999,80.72515943,37,34,3,887.2628824561403,1938
63.0,35.0,16.0,22.02720976,65.35549924,6.272417541,83.73280082,37,34,3,887.2628824561403,1735
79.0,45.0,20.0,23.80546189,59.24537979,5.715208817000001,89.96220140000001,37,34,3,887.2628824561403,3952
72.0,60.0,25.0,18.52510753,69.0276233,5.773454729,88.10234397,37,34,3,887.2628824561403,1812
67.0,51.0,24.0,23.50297882,61.32026065,5.584171461,64.77791424,37,34,3,887.2628824561403,1599
86.0,36.0,24.0,26.54986394,72.89187265,5.787268394,73.33636055,37,34,3,887.2628824561403,2496
76.0,48.0,18.0,19.29563411,69.63481219,5.77597783,83.21030571,37,34,3,887.2628824561403,3037
75.0,53.0,18.0,20.68899915,59.4375337,6.864793607,103.651438,37,34,3,887.2628824561403,3727
81.0,45.0,23.0,19.32666088,68.03449300000001,6.192360002999999,84.22969177,37,34,3,887.2628824561403,2519
73.0,45.0,21.0,24.60532218,73.58868502,6.636803222999999,96.59195302,37,34,3,887.2628824561403,1767
71.0,35.0,24.0,22.27373646,59.52193158,5.826426917,67.96704792,37,34,3,887.2628824561403,2439
96.0,54.0,22.0,25.70196694,61.33450447,6.960358276,83.20711308,37,34,3,887.2628824561403,3228
99.0,39.0,18.0,19.20129357,68.30578978,6.11275104,87.85092352,37,34,3,887.2628824561403,1816
62.0,48.0,20.0,21.70181447,60.47470519,6.708446922,95.71388473,37,34,3,887.2628824561403,2653
86.0,37.0,16.0,20.51716779,59.21235483,5.561510732,67.61013737,37,34,3,887.2628824561403,1534
94.0,50.0,19.0,23.30355338,73.62548442,5.873242491,97.59081274,37,34,3,887.2628824561403,2719
76.0,39.0,24.0,24.2547451,55.64709899,6.995843776,64.23845455,37,34,3,887.2628824561403,2608
77.0,52.0,17.0,24.86374934,65.7420046,5.714799723,75.82270467,37,34,3,887.2628824561403,3014
74.0,39.0,23.0,22.6265115,65.77472881,6.78073637,88.17251033,37,34,3,887.2628824561403,3547
81.0,49.0,20.0,18.04185513,60.61494304,5.513697923,104.2321615,37,34,3,887.2628824561403,2532
63.0,42.0,21.0,23.26237612,72.33125523,5.798423907999999,67.10225139,37,34,3,887.2628824561403,2583
99.0,38.0,21.0,22.88330922,71.59722446,6.352471866,67.72777298,37,34,3,887.2628824561403,3796
90.0,52.0,25.0,25.97482359,69.36385721,6.822586546,103.2234212,37,34,3,887.2628824561403,1554
68.0,40.0,19.0,26.14384005,66.20569924,6.655426355,107.2361366,37,34,3,887.2628824561403,3375
60.0,57.0,24.0,18.66116213,61.55327249,6.1212940410000005,75.03247667,37,34,3,887.2628824561403,3322
71.0,52.0,18.0,25.10787449,55.97732754,5.790770202999999,78.16077693,37,34,3,887.2628824561403,3040
61.0,59.0,17.0,23.33844615,59.24580604,6.47444292,105.0083144,37,34,3,887.2628824561403,2996
88.0,38.0,15.0,25.08239719,65.92195844,6.455116637000001,62.49190812,37,34,3,887.2628824561403,3394
65.0,60.0,22.0,25.36768364,72.52054555,6.6069840860000015,107.9124111,37,34,3,887.2628824561403,2480
78.0,37.0,22.0,25.34217103,63.31801994,6.330554389,74.52082026,37,34,3,887.2628824561403,2491
78.0,58.0,15.0,25.00933355,67.816568,6.5286312660000005,62.91359494,37,34,3,887.2628824561403,3175
92.0,60.0,23.0,18.66746724,71.516474,5.721667141,69.93293255,37,34,3,887.2628824561403,3912
79.0,59.0,17.0,20.37999665,63.73849998,6.644205485,108.5054416,37,34,3,887.2628824561403,2122
91.0,55.0,15.0,18.09300227,72.61024172,6.376651091,78.96159541,37,34,3,887.2628824561403,3102
76.0,51.0,18.0,26.16985907,71.96246617,6.247040422,79.84925393,37,34,3,887.2628824561403,1910
87.0,48.0,25.0,18.65396672,61.37879671,6.656730007999999,93.62039175,37,34,3,887.2628824561403,2220
71.0,60.0,22.0,26.07470121,59.37147589,6.2048017,85.75692395,37,34,3,887.2628824561403,2355
90.0,57.0,24.0,18.92851916,72.80086137,6.158860284,82.34162918,37,34,3,887.2628824561403,3628
67.0,35.0,22.0,23.30546753,63.24648023,6.385684213999999,108.7603001,37,34,3,887.2628824561403,3100
60.0,54.0,19.0,18.74826712,62.49878458,6.417820493,70.23401597,37,34,3,887.2628824561403,2943
83.0,58.0,23.0,19.74213321,59.66263104,6.381201909,65.50861389,37,34,3,887.2628824561403,1917
83.0,57.0,19.0,25.73044432,70.74739256,6.877869005,98.73771338,37,34,3,887.2628824561403,3852
40.0,72.0,77.0,17.02498456,16.98861173,7.485996067,88.55123143,17,34,3,887.2628824561403,1652
23.0,72.0,84.0,19.02061277,17.13159126,6.920251378,79.92698081,17,34,3,887.2628824561403,2572
39.0,58.0,85.0,17.88776475,15.40589717,5.9969320370000005,68.54932919,17,34,3,887.2628824561403,3276
22.0,72.0,85.0,18.86805647,15.65809214,6.391173589,88.51048983,17,34,3,887.2628824561403,3342
36.0,67.0,77.0,18.36952567,19.56381041,7.152811172000001,79.26357665,17,34,3,887.2628824561403,1939
32.0,73.0,81.0,20.45078582,15.40312102,5.988992796000002,92.68373702,17,34,3,887.2628824561403,3310
58.0,70.0,84.0,20.6543203,16.60820843,6.231049027999999,74.6631118,17,34,3,887.2628824561403,1671
59.0,70.0,84.0,17.3348681,18.74926979,7.550808267000001,82.61734721,17,34,3,887.2628824561403,2626
42.0,62.0,75.0,18.17912258,18.90426935,7.010570541,81.84997529,17,34,3,887.2628824561403,2986
28.0,74.0,81.0,18.01272266,18.30968112,8.753795334,81.98568791,17,34,3,887.2628824561403,1868
58.0,66.0,79.0,20.99373558,19.33470387,8.718192847000001,93.55280105,17,34,3,887.2628824561403,3933
43.0,66.0,79.0,19.46233971,15.22538951,7.976607593,74.58565097,17,34,3,887.2628824561403,2321
58.0,63.0,81.0,19.81344531,14.69765308,6.515499548999999,78.96514709,17,34,3,887.2628824561403,2573
23.0,62.0,85.0,18.97424756,19.5161216,8.490127142,80.7108745,17,34,3,887.2628824561403,2679
27.0,62.0,77.0,18.19737048,14.71070537,6.576415562,70.18185181,17,34,3,887.2628824561403,1611
28.0,72.0,84.0,18.72963144,19.18197264,6.481783042999999,71.58010169,17,34,3,887.2628824561403,2486
50.0,56.0,76.0,20.99502153,19.8601304,7.966605025,73.50734019,17,34,3,887.2628824561403,3814
39.0,71.0,84.0,20.28155898,16.39535215,8.140825437,82.52339655,17,34,3,887.2628824561403,3162
25.0,78.0,76.0,17.48042641,15.7559405,7.228963452,66.96980581,17,34,3,887.2628824561403,3546
31.0,70.0,77.0,20.88818675,14.32313811,6.492546046,90.46228334,17,34,3,887.2628824561403,3053
26.0,80.0,83.0,17.08498521,16.14565756,7.528599957000001,71.31007253,17,34,3,887.2628824561403,3225
25.0,68.0,77.0,20.09340593,15.11279612,7.701446446,85.74904898,17,34,3,887.2628824561403,1973
31.0,78.0,76.0,17.57212145,14.99927489,8.519975748,89.31050665,17,34,3,887.2628824561403,3768
60.0,68.0,83.0,19.12065218,18.43475844,6.620900869,85.52950164,17,34,3,887.2628824561403,2110
59.0,62.0,83.0,18.57665902,19.22008229,8.104396057999999,72.94940441,17,34,3,887.2628824561403,2438
22.0,67.0,78.0,17.16606398,14.42457525,6.204090835,72.32667516,17,34,3,887.2628824561403,2939
36.0,65.0,80.0,18.2872007,16.67921616,6.051091339,74.87445574,17,34,3,887.2628824561403,2866
59.0,60.0,84.0,19.03025305,18.66725565,7.690962337999999,94.70992037,17,34,3,887.2628824561403,3887
54.0,77.0,85.0,17.141861399999996,17.0662427,7.8292111439999985,83.74606679,17,34,3,887.2628824561403,2422
43.0,68.0,81.0,17.47809436,17.93253975,6.761599706,78.92060234,17,34,3,887.2628824561403,1921
28.0,76.0,82.0,20.56601874,14.25803981,6.654425315,83.75937135,17,34,3,887.2628824561403,1941
42.0,79.0,85.0,17.22385224,15.82069268,6.129533877,76.57580954,17,34,3,887.2628824561403,3716
32.0,60.0,83.0,19.69141713,19.44225438,8.829273328,91.76071648,17,34,3,887.2628824561403,2424
22.0,78.0,76.0,17.84851658,19.09172907,8.621662982,76.32470713,17,34,3,887.2628824561403,1735
31.0,79.0,75.0,18.8202251,16.1074793,8.204862075,89.73119396,17,34,3,887.2628824561403,3253
28.0,58.0,81.0,17.47500984,16.54314829,6.18042747,93.35034262,17,34,3,887.2628824561403,2202
57.0,58.0,77.0,18.72649425,17.58406365,7.978996755,81.20176515,17,34,3,887.2628824561403,3039
49.0,55.0,78.0,18.65580107,16.17772668,7.863113671,81.70769297,17,34,3,887.2628824561403,2140
46.0,76.0,77.0,18.2356751,19.68538502,6.967843048,83.74879344,17,34,3,887.2628824561403,3665
54.0,61.0,77.0,18.81198127,15.21618225,6.206582192999999,77.54294240000002,17,34,3,887.2628824561403,3512
38.0,60.0,76.0,18.65054116,17.80852431,8.868741443,77.92798682,17,34,3,887.2628824561403,2873
59.0,55.0,79.0,20.36720401,16.89574311,8.766128654,82.2545577,17,34,3,887.2628824561403,3435
36.0,76.0,75.0,18.38120357,16.63805158,8.736337905,70.52056697,17,34,3,887.2628824561403,1881
57.0,68.0,81.0,17.17012591,17.30457712,8.081095263,72.78624223,17,34,3,887.2628824561403,2748
35.0,66.0,81.0,19.37101121,15.77458129,6.138243973,85.24819851,17,34,3,887.2628824561403,1979
35.0,64.0,78.0,17.92845928,14.27327988,7.496645259,85.37378769,17,34,3,887.2628824561403,3491
52.0,60.0,79.0,19.45339934,18.23490739,8.380185271,75.6317566,17,34,3,887.2628824561403,1981
27.0,76.0,83.0,19.12829388,14.92241479,6.289614016,89.61857826,17,34,3,887.2628824561403,3214
57.0,60.0,84.0,19.1034283,17.26184541,6.586777189,75.49101167,17,34,3,887.2628824561403,3072
52.0,68.0,78.0,17.48504075,16.96070581,6.89655198,86.05078037,17,34,3,887.2628824561403,3904
43.0,79.0,79.0,19.40751744,18.98030507,7.8067476560000015,80.25064637,17,34,3,887.2628824561403,3929
44.0,74.0,85.0,20.18649426,19.63719995,7.150681303,78.26039559,17,34,3,887.2628824561403,2506
24.0,55.0,78.0,17.30287885,15.15405941,6.64919573,75.57790384,17,34,3,887.2628824561403,3091
29.0,77.0,75.0,17.50361137,15.48083156,7.778591617999999,72.9446671,17,34,3,887.2628824561403,2037
20.0,60.0,78.0,18.17234999,14.70085967,6.358740355,90.7760707,17,34,3,887.2628824561403,1838
56.0,67.0,78.0,17.57445618,16.71826572,8.255450758,77.81891424,17,34,3,887.2628824561403,2802
37.0,66.0,85.0,20.93175255,18.91295403,6.456148474,78.06910795,17,34,3,887.2628824561403,1956
49.0,71.0,76.0,19.71098332,17.63879418,6.613072145,85.57925437,17,34,3,887.2628824561403,3033
59.0,69.0,80.0,19.07937684,17.86754927,8.165359297,69.40619137,17,34,3,887.2628824561403,2998
